abysmal,abismal,
adverse,adverso,
alarming,alarmante,
angry,enfadado,
annoy,molestar,
anxious,ansioso,
apathy,apatía,
appalling,pésimo,
atrocious,atroz,
awful,horrible,
bad,malo,
banal,banal,
barbed,mordaz,
belligerent,beligerante,
bemoan,lamentar,
beneath,bajo,
boring,aburrido,
broken,roto,
callous,calloso,
can't,hipocresía,
clumsy,torpe,
coarse,grueso,
cold,frío,
cold-hearted,corazón frío,
collapse,colapso,
confused,confundido,
contradictory,contradictorio,
contrary,contrario,
corrosive,corrosivo,
corrupt,corrupto,
crazy,loco,
creepy,Siniestro,
criminal,delincuente,
cruel,cruel,
cry,llorar,
cutting,corte,
damage,daño,
damaging,perjudicial,
dastardly,ruin,
dead,muerto,
decaying,decadente,
deformed,deformado,
deny,negar,
deplorable,deplorable,
depressed,Deprimido,
deprived,privado,
despicable,despreciable,
detrimental,perjudicial,
dirty,sucio,
disease,enfermedad,
disgusting,repugnante,
disheveled,despeinado,
dishonest,deshonesto,
dishonorable,deshonroso,
dismal,triste,
distress,angustia,
don't,,
dreadful,terrible,
dreary,triste,
enraged,enfurecido,
eroding,erosionando,
evil,maldad,
fail,fallar,
faulty,defectuoso,
fear,temor,
feeble,débil,
fight,pelear,
filthy,asqueroso,
foul,falta,
frighten,asustar,
frightful,espantoso,
gawky,desgarbado,
ghastly,horrible,
grave,tumba,
greed,codicia,
grim,severo,
grimace,mueca,
gross,bruto,
grotesque,grotesco,
gruesome,horrible,
guilty,culpable,
haggard,demacrado,
hard,duro,
hard-hearted,duro de corazón,
harmful,dañino,
hate,odio,
hideous,horrible,
homely,acogedor,
horrendous,horrendo,
horrible,horrible,
hostile,hostil,
hurt,herir,
hurtful,hiriente,
icky,asqueroso,
ignorant,ignorante,
ignore,ignorar,
immature,inmaduro,
imperfect,imperfecto,
impossible,imposible,
inane,inane,
inelegant,poco elegante,
infernal,infernal,
injure,lesionar,
injurious,perjudicial,
insane,loco,
insidious,insidioso,
insipid,insípido,
jealous,celoso,
junky,drogadicto,
lose,perder,
lousy,malísimo,
lumpy,aterronado,
malicious,malicioso,
mean,significar,
menacing,amenazador,
messy,desordenado,
misshapen,deforme,
missing,desaparecido,
misunderstood,incomprendido,
moan,gemir,
moldy,mohoso,
monstrous,monstruoso,
naive,ingenuo,
nasty,desagradable,
naughty,travieso,
negate,negar,
negative,negativo,
never,Nunca,
,,
nobody,nadie,
nondescript,mediocre,
nonsense,disparates,
not,no,
noxious,nocivo,
objectionable,objetable,
odious,odioso,
offensive,ofensiva,
old,viejo,
oppressive,opresivo,
pain,dolor,
perturb,perturbar,
pessimistic,pesimista,
petty,pequeño,
plain,sencillo,
poisonous,venenoso,
poor,pobre,
prejudice,perjudicar,
questionable,cuestionable,
quirky,peculiar,
quit,dejar,
reject,rechazar,
renege,no cumplir,
repellant,repelente,
reptilian,reptil,
repugnant,repugnante,
repulsive,repulsivo,
revenge,venganza,
revolting,repugnante,
rocky,rocoso,
rotten,podrido,
rude,maleducado,
ruthless,implacable,
sad,triste,
savage,salvaje,
scare,susto,
scary,de miedo,
scream,grito,
severe,grave,
shocking,impactante,
shoddy,pacotilla,
sick,enfermo,
sickening,nauseabundo,
sinister,siniestro,
slimy,baboso,
smelly,maloliente,
sobbing,sollozando,
sorry,perdón,
spiteful,malévolo,
sticky,pegajoso,
stinky,apestoso,
stormy,Tormentoso,
stressful,Estresante,
stuck,pegado,
stupid,estúpido,
substandard,deficiente,
suspect,sospechar,
suspicious,suspicaz,
tense,tiempo,
terrible,terrible,
terrifying,espantoso,
threatening,amenazante,
ugly,feo,
undermine,socavar,
unfair,injusto,
unfavorable,desfavorable,
unhappy,infeliz,
unhealthy,insalubre,
unjust,injusto,
unlucky,desafortunado,
unpleasant,desagradable,
unsatisfactory,insatisfactorio,
unsightly,feo,
untoward,adverso,
unwanted,no deseado,
unwelcome,molesto,
unwholesome,insalubre,
unwieldy,pesado,
unwise,imprudente,
upset,disgustado,
vice,vicio,
vicious,vicioso,
vile,vil,
villainous,villano,
vindictive,vengativo,
wary,cauteloso,
weary,cansado,
wicked,malvado,
woeful,lamentable,
worthless,sin valor,
wound,herida,
yell,gritar,
yucky,asqueroso,
zero,cero,
